index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S15_D11 hbo]:Condition[V],3.329462332805043e-08,1.6885104666568652e-08,1.9718339912912413,0.04862856062448341,2.004263063866652e-10,6.63888203497142e-08,S15_D11 hbo,V,True,0.16130380028364674,False
ch_name[S15_D14 hbo]:Condition[V],2.7476072051650998e-08,1.6885104666568652e-08,1.6272372954875272,0.10368670957883318,-5.618124970012768e-09,6.057026907331477e-08,S15_D14 hbo,V,False,0.2632266156300688,False
ch_name[S15_D25 hbo]:Condition[V],3.9456750608721254e-08,1.688510466656865e-08,2.3367785624002035,0.019450701076110178,6.362553587057494e-09,7.255094763038502e-08,S15_D25 hbo,V,True,0.0883686172346734,False
ch_name[S16_D14 hbo]:Condition[V],5.380915022613443e-08,1.6885104666568652e-08,3.186782154372596,0.0014386508818985044,2.0714953204470662e-08,8.69033472477982e-08,S16_D14 hbo,V,True,0.011764967211969991,True
ch_name[S16_D25 hbo]:Condition[V],8.730869492694265e-08,1.6885104666568656e-08,5.170752367310334,2.3315336506719708e-07,5.421449790527888e-08,1.2040289194860644e-07,S16_D25 hbo,V,True,2.1450109586182132e-05,True
ch_name[S16_D26 hbo]:Condition[V],7.9285811073633e-08,1.688510466656865e-08,4.695606727899856,2.658165305160915e-06,4.619161405196924e-08,1.1238000809529676e-07,S16_D26 hbo,V,True,0.00019564096645984335,True
ch_name[S16_D27 hbo]:Condition[V],9.363797917307223e-08,1.6885104666568652e-08,5.54559660849891,2.9295352665385757e-08,6.054378215140846e-08,1.26732176194736e-07,S16_D27 hbo,V,True,3.59356326028732e-06,True
ch_name[S16_D32 hbo]:Condition[V],-3.239481856030973e-08,1.0000709569256518e-07,-0.3239252008667026,0.7459946642411921,-2.2840512431618828e-07,1.6361548719556884e-07,S16_D32 hbo,V,False,0.8505779007407411,False
ch_name[S17_D13 hbo]:Condition[V],5.182893172446709e-08,1.6885104666568652e-08,3.069506097115573,0.0021441302910433745,1.8734734702803324e-08,8.492312874613085e-08,S17_D13 hbo,V,True,0.016438332231332536,True
ch_name[S17_D14 hbo]:Condition[V],6.486695919972925e-08,1.688510466656865e-08,3.841667581022544,0.0001222012611012182,3.177276217806549e-08,9.796115622139301e-08,S17_D14 hbo,V,True,0.0024983368936249053,True
ch_name[S17_D27 hbo]:Condition[V],6.557426297059338e-08,1.6885104666568652e-08,3.883556795500706,0.000102939472576487,3.248006594892961e-08,9.866845999225713e-08,S17_D27 hbo,V,True,0.0024983368936249053,True
ch_name[S18_D26 hbo]:Condition[V],7.594050266896151e-08,1.6885104666568652e-08,4.497484864237679,6.8762054457065285e-06,4.284630564729775e-08,1.0903469969062529e-07,S18_D26 hbo,V,True,0.00031630545050250034,True
ch_name[S18_D27 hbo]:Condition[V],4.764003097132513e-08,1.688510466656865e-08,2.821423492011224,0.004781104038869351,1.4545833949661371e-08,8.073422799298889e-08,S18_D27 hbo,V,True,0.030867478707086338,True
ch_name[S19_D33 hbo]:Condition[V],-2.4417063928522433e-08,1.0000709569256522e-07,-0.24415331491661008,0.8071120823173491,-2.2042736968440107e-07,1.715932418273562e-07,S19_D33 hbo,V,False,0.8761570687102787,False
ch_name[S19_D4 hbo]:Condition[V],1.3763415293698535e-08,1.6885104666568652e-08,0.815121704335606,0.4150026490440982,-1.933078172796523e-08,4.68576123153623e-08,S19_D4 hbo,V,False,0.6108838993929125,False
